the_geom,Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Start Time,End Time,Day Of Week,SegmentID,NHoodName,Length In Miles,Shape Length,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End
"MULTILINESTRING ((-73.9894734198954 40.71789312673488, -73.99023340459979 40.71812408402333))",LES Partnership,Manhattan,Broome St,Ludlow St,Allen St,Open Streets: Restaurants,07/03/2020 12:00:00 AM,"12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,32834,Lower East Side,0.0429649457132,226.854913365,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-73.99221516604338 40.72523259562995, -73.99227762120822 40.72524926819786))",Von Design Ltd,Manhattan,Bleecker St,Mott St,Bowery,Open Streets: Restaurants,07/17/2020 12:00:00 AM,"5:00PM,12:00PM,NA","11:00PM,11:00PM,NA",TWRFSU,275231,Little Italy,0.0034745939046,18.3458558163,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-73.99227762120822 40.72524926819786, -73.9930419813925 40.72545161651535))",Von Design Ltd,Manhattan,Bleecker St,Mott St,Bowery,Open Streets: Restaurants,07/17/2020 12:00:00 AM,"5:00PM,12:00PM,NA","11:00PM,11:00PM,NA",TWRFSU,275232,Little Italy,0.0424852163561,224.32194236,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-74.00193353201392 40.724551787550816, -74.00261903337322 40.7248800365657))",Bistro Les Amis,Manhattan,Spring St,Thompson St,W Broadway,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM",ALL,32136,Soho,0.0425206560724,224.509064062,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,11:00AM,11:00PM
"MULTILINESTRING ((-73.98549602262739 40.74715232952137, -73.98817709964615 40.7482888221978))",New York Korea Town Association,Manhattan,W 32nd St,5th Ave,Broadway,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM",FSU,34019,Midtown,0.161075698672,850.479688989,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-73.98859298398303 40.73714256120116, -73.98854005711148 40.737120106064125), (-73.98854005711148 40.737120106064125, -73.98696115520929 40.73646434179841))",Gramercy Neighborhood Associates,Manhattan,E 18th St,Park Ave S,Irving Pl,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"4:00PM,4:00PM,4:00PM,4:00PM,12:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,164386,Gramercy,0.097600370003,515.329953616,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-74.00116652121649 40.731774805265474, -74.00294311139073 40.73113621400513))",Zouk LTD DBA Palma,Manhattan,Cornelia St,Bleecker St,W 4th St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM",FSU,32198,West Village,0.103140625038,544.582500201,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-73.99709223372182 40.71461839771732, -73.9971646239257 40.714634223620365), (-73.9971646239257 40.714634223620365, -73.99803530493473 40.71482456241434))",Chinatown BID/CCBA,Manhattan,Pell St,Bowery,Mott St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"5:00PM,5:00PM,5:00PM,5:00PM,5:00PM,12:00PM,10:00AM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,251997,Chinatown,0.051517783224,272.013895423,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM
"MULTILINESTRING ((-73.99803530493473 40.71482456241434, -73.9988665898318 40.714994598924896))",Chinatown BID/CCBA,Manhattan,Pell St,Bowery,Mott St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"5:00PM,5:00PM,5:00PM,5:00PM,5:00PM,12:00PM,10:00AM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,23787,Chinatown,0.0451949394853,238.629280482,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM
"MULTILINESTRING ((-73.98225528687588 40.75738736499616, -73.9850497006603 40.758573625741526))",Times Square Alliance,Manhattan,W 46th St,6th Ave,7th Ave,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"2:00PM,2:00PM,2:00PM,2:00PM,2:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,34198,Midtown,0.167923158338,886.634276025,2:00PM,11:00PM,2:00PM,11:00PM,2:00PM,11:00PM,2:00PM,11:00PM,2:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
